district_id,province_id,name
3116,31,Huai Rat
3117,31,Non Din Daeng
3118,31,Chamni
3119,31,Ban Mai Chaiyaphot
3120,31,Non Din Daeng
3121,31,Ban Dan
3122,31,Khaen Dong
3123,31,Chaloem Phra Kiet
3201,32,Mueang Surin
3202,32,Chumphon Buri
3203,32,Tha Tum
3204,32,Chom Phra
3205,32,Prasat
3206,32,Kap Choeng
3207,32,Rattanaburi
3208,32,Sanom
3209,32,Sikhoraphum
3210,32,Sangkha
3211,32,Lamduan
3212,32,Samrong Thap
3213,32,Buachet
3214,32,Phanom Dong Rak
3215,32,Si Narong
3216,32,Khwao Sinarin
3217,32,Non Narai
3301,33,Mueang Si Sa Ket
3302,33,Yang Chum Noi
3303,33,Kanthararom
3304,33,Kantharalak
3305,33,Khukhan
3306,33,Phrai Bueng
3307,33,Prang Ku
3308,33,Khun Han
3309,33,Rasi Salai
3310,33,Uthumphon Phisai
3311,33,Bueng Bun
3312,33,Huai Thap Than
3313,33,Non Khun
3314,33,Si Rattana
3315,33,Nam Kliang
3316,33,Wang Hin
3317,33,Phu Sing
3318,33,Mueang Chan
3319,33,Benchalak
3320,33,Phayu
3321,33,Pho Si Suwan
3322,33,Sila Lat
3401,34,Mueang Ubon Ratchathani
3402,34,Si Mueang Mai
3403,34,Khong Chiam
3404,34,Khueang Nai
3405,34,Khemarat
3407,34,Det Udom
3408,34,Na Chaluai
3409,34,Nam Yuen
3410,34,Boontharik
3411,34,Trakan Phuet Phon
3412,34,Kut Khaopun
3414,34,Muang Sam Sip
3415,34,Warin Chamrap
3419,34,Phibun Mangsahan
3420,34,Tan Sum
3421,34,Pho Sai
3422,34,Samrong
3424,34,Don Mot Daeng
3425,34,Sirindhorn
3426,34,Thung Si Udom
3429,34,Na Yia
3430,34,Na Tan
3431,34,Lao Suea Kok
3432,34,Sawang Wirawong
3433,34,Nam Khun
3501,35,Mueang Yasothon
3502,35,Sai Mun
3503,35,Kut Chum
3504,35,Kham Khuean Kaeo
3505,35,Pa Tio
3506,35,Maha Chana Chai
3507,35,Kho Wang
3508,35,Loeng Nok Tha
3509,35,Thai Charoen
3601,36,Mueang Chaiyaphum
3602,36,Ban Khwao
3603,36,Khon Sawan
3604,36,Kaset Sombun
3605,36,Nong Bua Daeng
3606,36,Chatturat
3607,36,Bamnet Narong
3608,36,Nong Bua Rawe
3609,36,Thep Sathit
3610,36,Phu Khiao
3611,36,Ban Thaen
3612,36,Kaeng Khro
3613,36,Khon San
3614,36,Phakdi Chumphon
3615,36,Noen Sa-nga
3616,36,Sap Yai
3701,37,Mueang Amnat Charoen
3702,37,Chanuman
3703,37,Pathum Ratchawongsa
3704,37,Phana
3705,37,Senangkhanikhom
3706,37,Hua Taphan
3707,37,Lue Amnat
3801,38,Bueng Kan
3802,38,Phon Charoen
3803,38,So Phisai
3804,38,Seka
3805,38,Pak Khat
3806,38,Bueng Khong Long
3807,38,Si Wilai
3808,38,Bung Khla
3901,39,Mueang Nong Bua Lam Phu
3902,39,Na Klang
3903,39,Non Sang
3904,39,Si Bun Rueang
3905,39,Suwannakhuha
3906,39,Na Wang
4001,40,Mueang Khon Kaen
4002,40,Ban Fang
4003,40,Phra Yuen
4004,40,Nong Ruea
4005,40,Chum Phae
4006,40,Si Chomphu
4007,40,Nam Phong
4008,40,Ubolratana
4009,40,Kranuan
4010,40,Ban Phai
4011,40,Pueai Noi
4012,40,Phon
4013,40,Waeng Yai
4014,40,Waeng Noi
4015,40,Nong Song Hong
4016,40,Phu Wiang
4017,40,Mancha Khiri
4018,40,Chonnabot
4019,40,Khao Suan Kwang
4020,40,Phu Phaman
4021,40,Sam Sung
4022,40,Khok Pho Chai
4023,40,Nong Na Kham
4024,40,Ban Haet
4025,40,Non Sila
4026,40,Wiang Kao
4101,41,Mueang Udon Thani
4102,41,Kut Chap
4103,41,Nong Wua So
4104,41,Kumphawapi
4105,41,Non Sa-at
4106,41,Nong Saeng
4107,41,Thung Fon
4108,41,Chai Wan
4109,41,Si That
4110,41,Wang Sam Mo
4111,41,Ban Dung
4117,41,Ban Phue
4118,41,Nam Som
4119,41,Phen
4120,41,Sang Khom
4121,41,Nong Saeng
4122,41,Na Yung
4123,41,Phibun Rak
4124,41,Ku Kaeo
4125,41,Prachaksinlapakhom
4201,42,Mueang Loei
4202,42,Na Duang
4203,42,Chiang Khan
4204,42,Pak Chom
4205,42,Dan Sai
4206,42,Na Haeo
4207,42,Phu Ruea
4208,42,Tha Li
4209,42,Wang Saphung
4210,42,Phu Kradueng
4211,42,Phu Luang
4212,42,Pha  Khao
4213,42,Erawan
4214,42,Nong Hin
4301,43,Mueang Nong Khai
4302,43,Tha Bo
4305,43,Phon Phisai
4307,43,Si Chiang Mai
4308,43,Sangkhom
4314,43,Sakhrai
4315,43,Fao Rai
4316,43,Rattanawapi
4317,43,Pho Tak
4401,44,Mueang Maha Sarakham
4402,44,Kae Dam
4403,44,Kosum Phisai
4404,44,Kantharawichai
4405,44,Chiang Yuen
4406,44,Borabue
4407,44,Na Chueak
4408,44,Phayakkhaphum Phisai
4409,44,Wapi Pathum
4410,44,Na Dun
4411,44,Yang Sisurat
4412,44,Kut Rang
4413,44,Chuen Chom
4501,45,Mueang Roi Et
4502,45,Kaset Wisai
4503,45,Pathum Rat
4504,45,Chaturaphak Phiman
4505,45,Thawat Buri
4506,45,Phanom Phrai
4507,45,Phon Thong
4508,45,Pho Chai
4509,45,Nong Phok
4510,45,Selaphum
4511,45,Suwannaphum
4512,45,Mueang Suang
4513,45,Phon Sai
4514,45,At Samat
4515,45,Moei Wadi
4516,45,Si Somdet
4517,45,Changhan
4518,45,Chiang Khwan
4519,45,Nong Hi
4520,45,Thung Khao Luang
4601,46,Mueang Kalasin
4602,46,Na Mon
